,imp_surf,building,low_veg,tree,car,clutter
imp_surf,10944.0,761.0,825.0,90.0,14.0,2.0
building,1115.0,14489.0,239.0,106.0,4.0,0.0
low_veg,925.0,303.0,7159.0,3653.0,0.0,0.0
tree,109.0,146.0,321.0,7235.0,0.0,0.0
car,459.0,91.0,45.0,3.0,82.0,0.0
clutter,44.0,20.0,10.0,0.0,0.0,0.0
Precision,0.8049426301853486,0.9164452877925364,0.8325386672868939,0.6525660683683593,0.82,0.0
Recall,0.8660968660968661,0.9082304268789569,0.5946013289036545,0.9262578415055691,0.12058823529411765,0.0
F1,0.8344007319304666,0.9123193652992476,0.6937351615872862,0.7656894909514234,0.21025641025641026,0.0
Support,12636.0,15953.0,12040.0,7811.0,680.0,74.0
0.811257470423
